Spacebar    32 
F1          27 91 91 65 
F2          27 91 91 66 
F3          27 91 91 67 
F4          27 91 91 68 
F5          27 91 91 69 
F6          27 91 49 55 126 
F7          27 91 49 56 126 
F8          27 91 49 57 126 
F9          27 91 50 48 126 
F10         27 91 50 49 126 
F11         27 91 50 51 126 
F12         27 91 50 52 126 
Insert      27 91 50 126 
Home        27 91 49 126 
PageUp      27 91 53 126 
Delete      27 91 51 126 
End         27 91 52 126 
PageDown    27 91 54 126 
Arrow Up    27 91 65 
Arrow Left  27 91 68 
Arrow Down  27 91 66 
Arrow Right 27 91 67 
